GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-former-drinkers-%28-%29,2017,2017,2017,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,9.6811287,9.7 [8.7 - 10.6],8.7458189,10.5604881
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-abstainers-past-12-months-%28-%29,2006,2006,2006,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,45.9705977,46.0 [43.2 - 48.7],43.2482239,48.6929716
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-abstainers-lifetime-%28-%29,2012,2012,2012,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,46.7643497,46.8 [44.2 - 49.6],44.2491656,49.5611298
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,1989,1989,1989,AFR,Africa,GHA,Ghana,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.02,0.02,,
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-abstainers-past-12-months-%28-%29,2017,2017,2017,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,57.125448,57.1 [54.3 - 59.9],54.33148,59.9194161
SA_0000001833,"Alcohol-attributable DALYs per 100,000 people (age standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-attributable-dalys--age-standardized-rates-%28all-ages%29--per-100-000-population,2019,2019,2019,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,3921.381955184,3921.4 [2683.1 - 5216.8],2683.072819104,5216.806614172
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-heavy-episodic-drinking-%2815-%29-past-30-days-%28-%29-age-standardized-with-95-ci,2006,2006,2006,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,22.1253189,22.1 [20.8 - 23.4],20.8241447,23.426493
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-abstainers-past-12-months-%28-%29,2011,2011,2011,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,65.5087972,65.5 [62.6 - 68.4],62.6122169,68.4053776
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,1972,1972,1972,AFR,Africa,GHA,Ghana,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.01,0.01,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,2008,2008,2008,AFR,Africa,GHA,Ghana,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,All types,1.99438958,2,,
SA_0000001462,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-use-disorders-%2815-%29-12-month-prevalence-%28-%29-with-95-,2016,2016,2016,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,,7.3,,
SA_0000001807,"Cancer, age-standardized death rates (15+), per 100,000 population",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-age-standardized-death-rates-%2815-%29-per-100-000-population,2019,2019,2019,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,131.219064105,131.2,,
SA_0000001821,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-unrecorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29-with-95-ci,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,2.675448071,2.7 [1.4 - 4.1],1.377001528,4.094400778
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-former-drinkers-%28-%29,2016,2016,2016,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,9.7032844,9.7 [8.8 - 10.6],8.7710545,10.5815441
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-heavy-episodic-drinking-%2815-%29-past-30-days-%28-%29-age-standardized-with-95-ci,2014,2014,2014,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,22.1858167,22.2 [20.9 - 23.5],20.8592988,23.5123346
SA_0000001818,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-total-%28recorded-unrecorded%29-per-capita-%2815-%29-consumption-with-95-ci-projections,2022,2022,2022,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,4.369954919,4.4 [1.9 - 6.9],1.850900254,6.889009584
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-abstainers-past-12-months-%28-%29,2007,2007,2007,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,68.5211505,68.5 [65.6 - 71.4],65.6125791,71.429722
SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-consumers-past-12-months-%28-%29,2006,2006,2006,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,43.827132,43.8 [41.3 - 46.2],41.2510641,46.2177449
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-heavy-episodic-drinking-%2815-%29-past-30-days-%28-%29-age-standardized-with-95-ci,2001,2001,2001,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,22.1977515,22.2 [20.9 - 23.5],20.9008549,23.4946482
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-abstainers-lifetime-%28-%29,2019,2019,2019,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,37.1950724,37.2 [34.7 - 39.9],34.7402615,39.880093
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,2006,2006,2006,AFR,Africa,GHA,Ghana,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,1.178198728,1.2,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,2020,2020,2020,AFR,Africa,GHA,Ghana,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0408,0,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,2003,2003,2003,AFR,Africa,GHA,Ghana,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0708,0.1,,
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-abstainers-past-12-months-%28-%29,2001,2001,2001,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,66.4962666,66.5 [63.6 - 69.4],63.5883138,69.4042193
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-abstainers-lifetime-%28-%29,2001,2001,2001,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,47.7573869,47.8 [45.2 - 50.6],45.1879616,50.5907093
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,1973,1973,1973,AFR,Africa,GHA,Ghana,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.04,0.04,,
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-drinkers-only-per-capita-%2815-%29consumption-in-litres-of-pure-alcohol,2007,2007,2007,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,11.27386266,11.3 [5.3 - 17.6],5.310361332,17.59055761
