district,region,vulnerability_index_pc1,gi_star_queen,gi_star_queen_class,gi_star_knn6,gi_star_knn6_class,lisa_quadrant_queen,lisa_pvalue_queen
Upper Denkyira East Municipal,Central,-0.4371409592213413,-0.02632818060029746,not_significant,-0.2559702718563654,not_significant,3,0.5
Asutifi North,Ahafo,-0.5255935047515108,-0.5913780889484144,not_significant,-0.5869552180950834,not_significant,3,0.073
Ahafo Ano North Municipal,Ashanti,-1.043775263890663,-0.3117346401690793,not_significant,-0.24442457318076968,not_significant,3,0.289
Amansie Central,Ashanti,-0.3631204424337886,-0.2865935649582822,not_significant,-0.3473404233453548,not_significant,3,0.233
Amansie West,Ashanti,0.4008349338629061,-0.4154305310173784,not_significant,-0.5643386170445678,not_significant,4,0.149
Asutifi South,Ahafo,-0.5139187071943183,-0.3676224764208567,not_significant,-0.34461566969577484,not_significant,3,0.165
Techiman Municipal,Bono East,-1.9178267588538205,-0.3399814624782691,not_significant,-0.35268277860977104,not_significant,3,0.21
Upper Denkyira West,Central,-0.6651746411225452,-0.12839058013899377,not_significant,-0.26201763847351844,not_significant,3,0.4
Techiman North,Bono East,-1.22441002223369,-0.33624819416356394,not_significant,-0.30863994874724987,not_significant,3,0.27
Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Central,-1.7368832752073031,0.0033275231541551992,not_significant,-0.07654923599092579,not_significant,2,0.47
Komenda Edina Eguafo Abirem Municipal,Central,0.0679552288480343,-0.3496659963384052,not_significant,-0.3977265170470827,not_significant,4,0.263
Banda,Bono,1.0955768833366093,0.021768230510632973,not_significant,-0.09171513608624149,not_significant,1,0.46
Sefwi Wiawso Municipal,Western North,-0.459917430562289,-0.27738482819476096,not_significant,-0.29889391083733824,not_significant,3,0.221
Jaman North,Bono,-0.9128477796501612,-0.31360827897399185,not_significant,-0.4136058575023801,not_significant,3,0.282
Asunafo South,Ahafo,-0.5140933290342086,-0.3014082405062401,not_significant,-0.3616764493920622,not_significant,3,0.263
Tain,Bono,-0.5324154844629101,-0.3070225798439224,not_significant,-0.5825319274087855,not_significant,3,0.259
Nkoranza South Municipal,Bono East,-0.9849092408898468,-0.3152509964502251,not_significant,-0.38400265679182083,not_significant,3,0.283
Sekyere Kumawu,Ashanti,-0.3134135942167989,-0.13861119456974763,not_significant,-0.49966964893202426,not_significant,3,0.378
Bole,Savannah,1.7859872961265308,1.1523551251200532,hotspot,0.6512368816624255,not_significant,1,0.007
Sekyere Afram Plains,Ashanti,1.1878499932964517,0.020154973476024348,not_significant,-0.13822551085216028,not_significant,1,0.436
Asante Akim North Municipal,Ashanti,-0.8923617332198177,-0.21438694988887935,not_significant,-0.46631869209152793,not_significant,3,0.323
Asante Akim Central Municipal,Ashanti,-1.2063983418749018,-0.4420526961100715,not_significant,-0.44693796913455547,not_significant,3,0.136
Kintampo North Municipal,Bono East,0.6392700578729897,0.9126378936041363,hotspot,0.724692793074431,hotspot,1,0.033
Asokore Mampong Municipal,Ashanti,-1.602513566186329,-1.0031818121540974,coldspot,-1.1806004726996902,coldspot,3,0.003
Atebubu Amantin Municipal,Bono East,-0.0377423324057842,0.10125081759711392,not_significant,0.011667472665444564,not_significant,2,0.396
Kwadaso Municipal,Ashanti,-2.252727457612132,-1.008694572888933,coldspot,-1.1206633251219407,coldspot,3,0.002
Kpandai,Northern,1.5155722250996857,1.085228431950694,hotspot,0.6892535641134793,not_significant,1,0.013
Ejisu Municipal,Ashanti,-1.1974054904746445,-0.6552307372717254,coldspot,-0.6679731629478741,coldspot,3,0.025
Nkwanta North (Kpassa),Oti,1.9958205013016763,0.8245118005512985,not_significant,0.8729824619708414,hotspot,1,0.108
Biakoye,Oti,-0.1110217616909774,-0.13528207602876322,not_significant,-0.22808139118911946,not_significant,3,0.386
Wassa Amenfi East Municipal,Western,0.4344586254360316,-0.19184171890932805,not_significant,-0.08550854271706933,not_significant,4,0.328
Central Gonja,Savannah,4.657088499559454,1.3369812833608439,hotspot,1.2034224738060126,hotspot,1,0.001
Tema West Municipal,Greater Accra,-2.9438517264678383,-1.1763562881827976,not_significant,-1.3162955147677828,coldspot,3,0.093
Ashaiman Municipal,Greater Accra,-2.6020953701605243,-1.1316304238528963,not_significant,-1.3449590209476117,coldspot,3,0.108
Pru East,Bono East,0.0228867228383158,0.6186061319303744,not_significant,0.5875261851662773,not_significant,1,0.113
Kpone Katamanso Municipal,Greater Accra,-2.079646365171536,-1.0123467123743388,coldspot,-1.4008218122700251,coldspot,3,0.002
Savelugu Municipal,Northern,3.1344999786696315,1.889311959729639,hotspot,1.6699688914575026,hotspot,1,0.001
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,Northern,0.0929452170644402,2.1208303734834058,hotspot,1.9563939150537168,hotspot,1,0.001
Karaga,Northern,4.05395029421899,1.9019267186780653,hotspot,2.0353119353284477,hotspot,1,0.001
North East Gonja,Savannah,4.190842663659907,0.8428798870609648,hotspot,0.6490583704244212,not_significant,1,0.003
South Dayi,Volta,0.1445422034045421,0.043916908927599856,not_significant,-0.25030173192192345,not_significant,1,0.418
Tempane,Upper East,4.441891604499848,1.4876036631733554,hotspot,1.6432927335938554,hotspot,1,0.019
Bolgatanga East,Upper East,0.514532088762876,1.796428456547932,hotspot,1.6596203248813557,hotspot,1,0.001
Yunyoo Nasuan,North East,4.910165603146773,1.8910274157024227,hotspot,2.02704748878897,hotspot,1,0.004
Nanton,Northern,2.970629072330241,1.4564023505174324,hotspot,1.7125635626779852,hotspot,1,0.005
Assin Central Municipal,Central,-1.3522131679992266,-0.17901986737090833,not_significant,-0.08619398561935428,not_significant,3,0.376
Gomoa Central,Central,-0.517653609658988,-0.22077313136648336,not_significant,-0.04677785634648128,not_significant,3,0.386
Pru West,Bono East,0.3886150353986822,0.16656436921553364,not_significant,0.16656436921553364,not_significant,1,0.332
Berekum West,Bono,-1.3126949597037652,-0.7118190897928157,not_significant,-0.7631721271709988,coldspot,3,0.081
Ahafo Ano South West,Ashanti,-0.2990877610442236,-0.22172981411508172,not_significant,-0.31092773638759774,not_significant,3,0.295
Amansie South,Ashanti,-0.2271081751721367,-0.2655489735658809,not_significant,-0.3944308831931676,not_significant,3,0.274
Atwima Nwabiagya North,Ashanti,-1.1952394340964776,-0.5737081122654568,not_significant,-0.6681322753376154,coldspot,3,0.083
Akrofuom,Ashanti,0.4188137673066506,-0.3563358464977968,not_significant,-0.45971795884840827,not_significant,4,0.143
Adansi North,Ashanti,-1.023766872927765,-0.4442372355147234,not_significant,-0.4442372355147234,not_significant,3,0.126
Obuasi East,Ashanti,-1.489306741772931,-0.3289076633319185,not_significant,-0.31415194322709783,not_significant,3,0.276
Afigya Kwabre North,Ashanti,0.1163818359582427,-0.3171589554551998,not_significant,-0.512746137408082,not_significant,4,0.285
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,-2.405662849545586,-1.1785784702622493,coldspot,-1.1785784702622493,coldspot,3,0.001
Oforikrom Municipal,Ashanti,-2.027216465861971,-0.9641041076605178,coldspot,-1.1401821639460792,coldspot,3,0.004
Asokwa Municipal,Ashanti,-2.7221447348250707,-0.9671733253745,coldspot,-1.151796770206392,coldspot,3,0.003
Old Tafo Municipal,Ashanti,-2.107494680636043,-0.9890026240003108,coldspot,-1.2038916657167047,coldspot,3,0.003
Suame Municipal,Ashanti,-2.2984783973131755,-0.9754127381647505,coldspot,-1.1203741780801677,coldspot,3,0.002
