model,loocv_r2,loocv_mae,fold_error_mean,fold_error_sd,beats_naive_baseline,permutation_n_exceeded_of_tested,permutation_empirical_p_bound
RandomForest,0.2311,0.1667,0.1667,0.1526,True,100/100,0.0099
XGBoost,0.2048,0.1882,0.1882,0.132,True,,
