component,kmo_per_item
poverty_incidence,0.7337487580096941
poverty_intensity,0.6330692651670933
illiteracy_rate,0.7685321421887719
uninsured_rate,0.2566522086008296
unemployment_rate,0.5399408044172838
dependency_ratio,0.8302838282992459
