metric,queen_contiguity,knn_k6,numeric_spread,queen_p,knn_p
Global Moran's I,0.7968,0.8026,0.0057,0.001,0.001
Gi* classification agreement (%),91.1,,8.9,,
N hotspot districts,4.0,4.0,0.0,,
N coldspot districts,95.0,108.0,13.0,,
